word,category
climate_change,Climate_Change
scope_3,Climate_Change
carbon_footprint,Climate_Change
global_warming,Climate_Change
co2_emission,Climate_Change
greenhouse_gas,Climate_Change
scope_1,Climate_Change
ghg_emission,Climate_Change
emission,Climate_Change
greenhouse_gas_emission,Climate_Change
carbon_dioxide_emission,Climate_Change
carbon_emission,Climate_Change
environmental_footprint,Climate_Change
gas_emission,Climate_Change
pollutant,Climate_Change
environmental_impact,Climate_Change
greenhouse_emission,Climate_Change
carbon,Climate_Change
carbon_intensity,Climate_Change
global_emission,Climate_Change
anthropogenic_climate_change,Climate_Change
total_ghg_emissions,Climate_Change
climate_crisis,Climate_Change
carbon_dioxide,Climate_Change
climate_emergency,Climate_Change
methane_emission,Climate_Change
total_ghg,Climate_Change
energy_consume,Climate_Change
fossil_fuel_consumption,Climate_Change
other_pollutant,Climate_Change
fossil_fuel_use,Climate_Change
climate_policy,Climate_Change
consumption_of_fossil_fuel,Climate_Change
ecosystem,Ecosystem
conservation,Ecosystem
deforestation,Ecosystem
endangered_species,Ecosystem
biodiversity,Ecosystem
eco_system,Ecosystem
network_effect,Ecosystem
wildlife,Ecosystem
cdp,Environmental_Governance
sustainability_reporting,Environmental_Governance
environmental_compliance,Environmental_Governance
environmental_disclosure,Environmental_Governance
compliance_with_environmental,Environmental_Governance
environmental_protection,Environmental_Governance
environmental,Environmental_Governance
ballast_water_treatment,Environmental_Governance
environmental_regulation,Environmental_Governance
comply_with_environmental,Environmental_Governance
safety_regulation,Environmental_Governance
environmental_upgrade,Environmental_Governance
environmental_health,Environmental_Governance
environmental_cleanup,Environmental_Governance
ecological,Environmental_Governance
energy_conservation,Environmental_Governance
waste_disposal,Environmental_Governance
environmental_remediation,Environmental_Governance
environmental_control,Environmental_Governance
carbon_credit,Green_Finance
green_bond,Green_Finance
climate_finance,Green_Finance
esg_investing,Green_Finance
renewable_energy_credit,Green_Finance
green_convertible,Green_Finance
sustainability_link,Green_Finance
carbon_offset,Green_Finance
rin,Green_Finance
solar_bond,Green_Finance
every_gallon,Green_Finance
biofuel,Green_Finance
renewable_electricity,Green_Finance
environmental_social_and_corporate_governance,Green_Finance
water_consumption,Natural_Resources
resource_depletion,Natural_Resources
renewable_energy,Natural_Resources
energy_consumption,Natural_Resources
natural_resource,Natural_Resources
energy_efficiency,Natural_Resources
renewable,Natural_Resources
clean_energy,Natural_Resources
green_energy,Natural_Resources
energy_usage,Natural_Resources
alternative_energy,Natural_Resources
solar_energy,Natural_Resources
renewable_power,Natural_Resources
water_usage,Natural_Resources
renewable_energy_source,Natural_Resources
renewable_energy_production,Natural_Resources
solar_power,Natural_Resources
wind_power,Natural_Resources
electricity_use,Natural_Resources
solar_and_wind,Natural_Resources
electricity_consumption,Natural_Resources
solar,Natural_Resources
renewable_source_of_energy,Natural_Resources
wind_and_solar_energy,Natural_Resources
renewable_energy_generation,Natural_Resources
wind_energy,Natural_Resources
solar_and_wind_energy,Natural_Resources
wind_solar,Natural_Resources
sustainable_energy,Natural_Resources
solar_and_wind_power,Natural_Resources
solar_wind,Natural_Resources
power_generation,Natural_Resources
wind_and_solar_power,Natural_Resources
renewable_power_generation,Natural_Resources
green_power,Natural_Resources
wind_and_solar,Natural_Resources
clean_power,Natural_Resources
clean_energy_technology,Natural_Resources
gas_consumption,Natural_Resources
renewable_energy_project,Natural_Resources
renewable_generation,Natural_Resources
decarbonization,Natural_Resources
offshore_wind,Natural_Resources
energy_saving,Natural_Resources
clean_energy_source,Natural_Resources
emission_reduction,Pollution_Waste
hazardous_waste,Pollution_Waste
air_pollution,Pollution_Waste
recycling,Pollution_Waste
pollution_control,Pollution_Waste
waste_management,Pollution_Waste
pollution,Pollution_Waste
carbon_reduction,Pollution_Waste
non_hazardous,Pollution_Waste
reduce_greenhouse_gas_emission,Pollution_Waste
reduce_emission,Pollution_Waste
recycle,Pollution_Waste
reduce_carbon_emission,Pollution_Waste
wastewater,Pollution_Waste
contaminate_soil,Pollution_Waste
air_quality,Pollution_Waste
nuclear_waste,Pollution_Waste
emission_control,Pollution_Waste
pollution_problem,Pollution_Waste
pollution_level,Pollution_Waste
disposal_site,Pollution_Waste
industrial_waste,Pollution_Waste
traffic_congestion,Pollution_Waste
hazardous_substance,Pollution_Waste
low_emission,Pollution_Waste
recyclable_material,Pollution_Waste
hazardous_material,Pollution_Waste
reduce_co2_emission,Pollution_Waste
water_pollution,Pollution_Waste
greenhouse_gas_emission_reduction,Pollution_Waste
exit_from_fossil_fuel,Pollution_Waste
pollution_issue,Pollution_Waste
hazardous_and_non_hazardous_waste,Pollution_Waste
reduction_in_greenhouse_gas_emission,Pollution_Waste
decarbonisation,Pollution_Waste
carbon_neutrality,Sustainability_Practices
circular_economy,Sustainability_Practices
carbon_neutral,Sustainability_Practices
achieve_carbon_neutrality,Sustainability_Practices
net_zero_emission,Sustainability_Practices
environmental_sustainability,Sustainability_Practices
net_zero_carbon,Sustainability_Practices
net_zero_carbon_emission,Sustainability_Practices
become_carbon_neutral,Sustainability_Practices
climate_neutral,Sustainability_Practices
greenhouse_gas_reduction,Sustainability_Practices
net_zero,Sustainability_Practices
sustainability_goal,Sustainability_Practices
emission_goal,Sustainability_Practices
decarbonize,Sustainability_Practices
low_carbon,Sustainability_Practices
climate_goal,Sustainability_Practices
achieve_net_zero,Sustainability_Practices
eco_friendly,Sustainability_Practices
combat_climate_change,Sustainability_Practices
emission_reduction_target,Sustainability_Practices
environmental_goal,Sustainability_Practices
energy_independence,Sustainability_Practices
environmentally_sustainable,Sustainability_Practices
climate_action,Sustainability_Practices
green_economy,Sustainability_Practices
clean_energy_solution,Sustainability_Practices
sustainable_packaging,Sustainability_Practices
sustainable_and_eco_friendly,Sustainability_Practices
carbon_intensity_reduction,Sustainability_Practices
water_conservation,Sustainability_Practices
energy_transition,Sustainability_Practices
promote_sustainability,Sustainability_Practices
decarbonization_goal,Sustainability_Practices
waste_reduction,Sustainability_Practices
cut_emission,Sustainability_Practices

